system:index,date,potential_evaporation_sum,temperature_2m,total_precipitation_sum,.geo
19700101,1970-01-01,-2.538681718087199E-4,266.6178158558173,0.0020675685143781933,"{""type"":""MultiPoint"",""coordinates"":[]}"
19700102,1970-01-02,-5.105847565491772E-4,265.70625801036016,6.478362611263878E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19700103,1970-01-03,-5.364542929985099E-4,267.5649328453036,0.00100060195195277,"{""type"":""MultiPoint"",""coordinates"":[]}"
19700104,1970-01-04,-2.586899630572702E-4,268.6663860867825,0.001481254794911652,"{""type"":""MultiPoint"",""coordinates"":[]}"
19700105,1970-01-05,-3.765587806864213E-4,272.35846743368626,0.0061323009812270105,"{""type"":""MultiPoint"",""coordinates"":[]}"
19700106,1970-01-06,-6.346927680366697E-4,269.43590445046374,0.002134155526595293,"{""type"":""MultiPoint"",""coordinates"":[]}"
19700107,1970-01-07,-4.016947545309628E-4,266.68212710001575,0.0016675532530325352,"{""type"":""MultiPoint"",""coordinates"":[]}"
19700108,1970-01-08,-4.903653907864673E-4,265.5162616403847,2.0986653742763336E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19700109,1970-01-09,-7.25084922321141E-4,266.3502125462099,9.632119893039731E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19700110,1970-01-10,-7.168236290964116E-4,269.11363516039927,0.0018855008733640092,"{""type"":""MultiPoint"",""coordinates"":[]}"
19700111,1970-01-11,-5.06019149579288E-4,272.22789486207,0.0012440284046509025,"{""type"":""MultiPoint"",""coordinates"":[]}"
19700112,1970-01-12,-2.571746584419052E-4,273.44828973363946,0.0015321167464996696,"{""type"":""MultiPoint"",""coordinates"":[]}"
19700113,1970-01-13,-2.851768365865834E-4,272.3503796027689,6.032917901271183E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19700114,1970-01-14,-2.8109396364039377E-4,272.2557621731423,6.778715370354215E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19700115,1970-01-15,-1.9259294305878517E-4,272.33750460386227,0.0023693884866332446,"{""type"":""MultiPoint"",""coordinates"":[]}"
19700116,1970-01-16,-2.755797318352557E-4,273.3358407970574,0.0059673774892451325,"{""type"":""MultiPoint"",""coordinates"":[]}"
19700117,1970-01-17,-7.741580781274866E-4,269.2043820327251,0.0031541527264548814,"{""type"":""MultiPoint"",""coordinates"":[]}"
19700118,1970-01-18,-6.334535451185511E-4,266.54635041650937,4.7884143251047517E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19700119,1970-01-19,-4.416552974771602E-4,265.39253872780324,4.290375865432912E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19700120,1970-01-20,-4.086589258125509E-4,264.90518949377605,8.975896010744367E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
19700121,1970-01-21,-4.2453204759616804E-4,265.26440682094807,2.3299198739258126E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19700122,1970-01-22,-4.3617582780482807E-4,266.30666070288424,2.9311934297163427E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19700123,1970-01-23,-4.534127923638724E-4,267.5011366292772,1.2061881953958304E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19700124,1970-01-24,-5.345741884807552E-4,269.3032107833176,0.002696745974780489,"{""type"":""MultiPoint"",""coordinates"":[]}"
19700125,1970-01-25,-5.402070094454413E-4,270.7250581472829,0.0013826915208149024,"{""type"":""MultiPoint"",""coordinates"":[]}"
19700126,1970-01-26,-6.029868671748289E-4,271.6758896672261,4.3669387528806527E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19700127,1970-01-27,-5.282254374593748E-4,273.49235886716275,0.0033355039614799582,"{""type"":""MultiPoint"",""coordinates"":[]}"
19700128,1970-01-28,-9.149288439446596E-4,272.2301388196972,9.135826999349737E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19700129,1970-01-29,-7.566807372244661E-4,269.241535984728,3.2589762039316177E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19700130,1970-01-30,-6.212911205677527E-4,268.3730192661576,0.0014482646698182496,"{""type"":""MultiPoint"",""coordinates"":[]}"
